"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'INFORMATION SCIENCE & LIBRARY SCIENCE' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
51,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,440,1.203,0.000510,0.280
52,Health Information and Libraries Journal,933,1.179,0.000670,0.334
53,DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,543,1.103,0.000210,0.212
54,Journal of Global Information Management,379,1.098,0.000130,0.118
55,Journal of Organizational and End User Computing,200,1.093,0.000160,0.140
56,PORTAL-LIBRARIES AND THE ACADEMY,555,1.037,0.000740,0.337
57,Malaysian Journal of Library & Information Science,228,1.000,0.000180,0.136
58,Revista Espanola de Documentacion Cientifica,347,0.985,0.000270,0.117
59,KNOWLEDGE ORGANIZATION,402,0.979,0.000230,0.081
60,Journal of Global Information Technology Management,219,0.923,0.000100,0.126
61,ELECTRONIC LIBRARY,745,0.886,0.000490,0.124
62,PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,489,0.868,0.000240,0.158
63,INFORMATION TECHNOLOGY AND LIBRARIES,250,0.800,0.000130,0.135
64,INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,929,0.799,0.000840,0.149
65,SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,"1,315",0.763,0.000470,0.257
66,LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,128,0.667,0.000100,0.220
67,LIBRARY TRENDS,673,0.627,0.000340,0.140
68,INTERLENDING & DOCUMENT SUPPLY,128,0.563,0.000200,0.133
69,LIBRI,284,0.553,0.000170,0.101
70,SCIENTIST,268,0.493,0.000380,0.122
71,LIBRARY RESOURCES & TECHNICAL SERVICES,158,0.459,0.000140,0.132
72,REFERENCE & USER SERVICES QUARTERLY,262,0.444,0.000230,0.105
73,LIBRARY JOURNAL,376,0.438,0.000540,0.112
74,RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL,248,0.394,0.000070,0.074
75,Transinformacao,120,0.373,0.000150,0.088
76,Journal of the Australian Library and Information Association,10,0.348,0.000000,0.027
77,Australian Library Journal,146,0.346,0.000140,0.119
78,African Journal of Library Archives and Information Science,82,0.345,0.000040,0.044
79,SERIALS REVIEW,206,0.311,0.000240,0.109
80,Information & Culture,78,0.302,0.000260,0.184
81,CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,112,0.258,0.000120,0.111
82,Informacios Tarsadalom,19,0.222,0.000010,0.007
83,Investigacion Bibliotecologica,103,0.176,0.000060,0.033
84,Informacao & Sociedade-Estudos,138,0.173,0.000010,0.006
85,LAW LIBRARY JOURNAL,86,0.151,0.000060,0.037
86,ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,33,0.080,0.000000,0.006
87,LIBRARY AND INFORMATION SCIENCE,31,0.056,0.000020,0.055
88,ECONTENT,26,0.047,0.000010,0.007
89,Data Technologies and Applications,1,Not Available,0.000000,Not Available
Copyright © 2019 Clarivate Analytics,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,
